Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
mur,basic,,country/nation/federation,,federal,federally,,,,,Urdu,ملک,mulk,
musek,,shortened form to specify a timeframe in seconds,,,,,,,,,Orostara,muh sek,,
mut,basic,,purpose/mission/objective/task/goal/achievement,achieve/reach,purposeful,purposefully,for,,,,Mandarin Chinese,目的,Mùdì,
mutar,basic,,urine,pee,,,,body,,62,Marathi,मूत्र,Mūtra,
mutkarim,,,preposition/particle,,,,,,,,Orostara,mut karim,purpose word,
mutsis,,,program/project,,,,,,,,Orostara,mut sis,task/goal system,
muturur,,,urethra,,,,,body,,33,Orostara,mutur rur,,
mux,basic,Mostly used as an honorific suffix,director/supervisor,,,,,,,,Arabic,مُشْرِف,mušrif,
nafen,,pair with 'sek',never will,,,,,,,,Orostara,nah fen,,
naformar,,,,,casual,casually,,,,,Orostara,nah formar,,
nah,basic/slang,noun form commonly changed to 'nana',nothing/none/zero,is not/(colloquially) don't/won't,not/0,not,no,number,,1,Bangla,না,Nā,
nahan,,,,,,instead,instead of,,,,Orostara,nah an,,
nahas,,quick way to say something is not belonging to someone or that they don’t have something,,,,,not of,,,,Orostara,nah as,,
nahif,slang,,,,,,unless/until,,,,Orostara,nah if,,
naminxon,,,private,,private,privately,,,,,Orostara,nah minxon,,
nan,slang,informal slang; response to 'thank you' similar to 'no problem; it's nothing',no problem/you're welcome,,,,,,,,Orostara,nah,,
nanit,,,,,dry,,,,,,Orostara,nah nit,,
narof,,,,,smooth,,,,,,Orostara,nah rof,no texture,
nas,slang,slang; short form; quick way to say something is not belonging to someone or that they don’t have something,,,,,not of,,,,Orostara,nahas,,
nasek,,,,,,never,never,,,,Orostara,nah sek,,
nasenkon,,,failure,fail,,,,,,,Orostara,nah senkon,,
naseyfap,,,,,lazy,,,,,,Orostara,nah sey fap,no activity,
nasim,,,difference,differ/vary,different/unique/varying/other,differently/uniquely,,,,,Orostara,nah sim,,
nasimsis,,,diversity,diversify,diverse,diversely,,,,,Orostara,nasim sis,,
nasix,,,lie/trick/forgery,lie/trick/fake,false/untrue/fake,falsely,,,,,Orostara,nah six,,
nasot,,,silence,silence,silent,silently,,,,,Orostara,nah sot,no sound,
natier,,,beast/creature,,,,,fantasy,,,Orostara,nah tier,,
nax,basic,,star,,,,,space,,4,Arabic,نجمة,najma,
naxan,,(temporal) pair with 'sek',(temporal) never before,stop/freeze,still/motionless,motionlessly,,,,,Orostara,nah xan,,
naxar,slang,slang insult and meaner than what it's derived from,dimwit/idiot,,unintelligent/stupid,,,,,,Orostara,nah xar,,
naxir,,,oddity,,strange/odd/weird/unexpected/abnormal,strangely/oddly,,,,,Orostara,nah xir,,
naxkun,,,galaxy,,,,,space,,6,Orostara,nax kun,star group,
naxsis,,,solar system,,,,,space,,5,Orostara,nax sis,star system,
nayix,,,,exhaust,tired/exhausted/weary,,,,,,Orostara,nah yix,,
nayoy,,,,,clumsy/awkward,,,,,,Orostara,nah yoy,,
Nayxamur,proper,'mur' added for clarity,Nigeria/Federal Republic of Nigeria,,,,,country,,,English,Nigeria,,
nef,basic,,nine,,9,,,number,,10,French,neuf,,
nes,basic,,necessity/need,must/have to/need/depend/rely on,necessary/essential,necessarily,,,,,Spanish,necesidad,,
net,basic,,leader/guide/management,lead/guide/manage/control,controlling,,,,,,Hindi,नेता,neta,
netsis,,,administration/government/politics,administrate/govern,administrative/political,,,,,,Orostara,net sis,,
ni,,particle to indicate something is a rhetorical question ,,,,,,,,,Orostara,nah ki,,
nien,basic,,year/age,age,aged/mature,,,measurement,,,Mandarin Chinese,年,Nián,
nifen,,,future year,,,,,,,,Orostara,nien fen,,
nih,basic,,greeting,hi/hello/greet,,,,,,,Mandarin Chinese,你好,Nǐ hǎo,ni
Nihonmur,proper,'mur' added for clarity,Japan,,,,,country,,,Japanese,日本,Nihon,
Nihontar,proper,語 replaced with 'tar',Japanese,,,,,language,,,Japanese,日本語,Nihongo,
nin,basic,,sleep,sleep,sleepy/tired,,,,,,Hindi,नींद,nīnd,
ninsik,,,,dream,,,,,,,Orostara,nin sik,,
